31-01-90,28-02-90,31-03-90,30-04-90,31-05-90,30-06-90,31-07-90,31-08-90,30-09-90,31-10-90,30-11-90,31-12-90,31-01-91,28-02-91,31-03-91,30-04-91,31-05-91,30-06-91,31-07-91,31-08-91,30-09-91,31-10-91,30-11-91,31-12-91,31-01-92,29-02-92,31-03-92,30-04-92,31-05-92,30-06-92,31-07-92,31-08-92,30-09-92,31-10-92,30-11-92,31-12-92,31-01-93,28-02-93,31-03-93,30-04-93,31-05-93,30-06-93,31-07-93,31-08-93,30-09-93,31-10-93,30-11-93,31-12-93,31-01-94,28-02-94,31-03-94,30-04-94,31-05-94,30-06-94,31-07-94,31-08-94,30-09-94,31-10-94,30-11-94,31-12-94,31-01-95,28-02-95,31-03-95,30-04-95,31-05-95,30-06-95,31-07-95,31-08-95,30-09-95,31-10-95,30-11-95,31-12-95,31-01-96,29-02-96,31-03-96,30-04-96,31-05-96,30-06-96,31-07-96,31-08-96,30-09-96,31-10-96,30-11-96,31-12-96,31-01-97,28-02-97,31-03-97,30-04-97,31-05-97,30-06-97,31-07-97,31-08-97,30-09-97,31-10-97,30-11-97,31-12-97,31-01-98,28-02-98,31-03-98,30-04-98,31-05-98,30-06-98,31-07-98,31-08-98,30-09-98,31-10-98,30-11-98,31-12-98,31-01-99,28-02-99,31-03-99,30-04-99,31-05-99,30-06-99,31-07-99,31-08-99,30-09-99,31-10-99,30-11-99,31-12-99,31-01-00,29-02-00,31-03-00,30-04-00,31-05-00,30-06-00,31-07-00,31-08-00,30-09-00,31-10-00,30-11-00,31-12-00,31-01-01,28-02-01,31-03-01,30-04-01,31-05-01,30-06-01,31-07-01,31-08-01,30-09-01,31-10-01,30-11-01,31-12-01,31-01-02,28-02-02,31-03-02,30-04-02,31-05-02,30-06-02,31-07-02,31-08-02,30-09-02,31-10-02,30-11-02,31-12-02,31-01-03,28-02-03,31-03-03,30-04-03,31-05-03,30-06-03,31-07-03,31-08-03,30-09-03,31-10-03,30-11-03,31-12-03,31-01-04,29-02-04,31-03-04,30-04-04,31-05-04,30-06-04,31-07-04,31-08-04,30-09-04,31-10-04,30-11-04,31-12-04,31-01-05,28-02-05,31-03-05,30-04-05,31-05-05,30-06-05,31-07-05,31-08-05,30-09-05,31-10-05,30-11-05,31-12-05,31-01-06,28-02-06,31-03-06,30-04-06,31-05-06,30-06-06,31-07-06,31-08-06,30-09-06,31-10-06,30-11-06,31-12-06,31-01-07,28-02-07,31-03-07,30-04-07,31-05-07,30-06-07,31-07-07,31-08-07,30-09-07,31-10-07,30-11-07,31-12-07,31-01-08,29-02-08,31-03-08,30-04-08,31-05-08,30-06-08,31-07-08,31-08-08,30-09-08,31-10-08,30-11-08,31-12-08,31-01-09,28-02-09,31-03-09,30-04-09,31-05-09,30-06-09,31-07-09,31-08-09,30-09-09,31-10-09,30-11-09,31-12-09,31-01-10,28-02-10,31-03-10,30-04-10,31-05-10,30-06-10,31-07-10,31-08-10,30-09-10,31-10-10,30-11-10,31-12-10,31-01-11,28-02-11,31-03-11,30-04-11,31-05-11,30-06-11,31-07-11,31-08-11,30-09-11,31-10-11,30-11-11,31-12-11,31-01-12,29-02-12,31-03-12,30-04-12,31-05-12,30-06-12,31-07-12,31-08-12,30-09-12,31-10-12,30-11-12,31-12-12,31-01-13,28-02-13,31-03-13,30-04-13,31-05-13,30-06-13,31-07-13,31-08-13,30-09-13,31-10-13,30-11-13,31-12-13,31-01-14,28-02-14,31-03-14,30-04-14,31-05-14,30-06-14,31-07-14,31-08-14,30-09-14,31-10-14,30-11-14,31-12-14,31-01-15,28-02-15,31-03-15,30-04-15,31-05-15,30-06-15,31-07-15,31-08-15,30-09-15,31-10-15,30-11-15,31-12-15,31-01-16,29-02-16,31-03-16,30-04-16,31-05-16,30-06-16,31-07-16,31-08-16,30-09-16,31-10-16,30-11-16,31-12-16,31-01-17,28-02-17,31-03-17,30-04-17,31-05-17,30-06-17,31-07-17,31-08-17,30-09-17,31-10-17,30-11-17,31-12-17,31-01-18,28-02-18,31-03-18,30-04-18,31-05-18,30-06-18,31-07-18,31-08-18,30-09-18,31-10-18,30-11-18,31-12-18,31-01-19,28-02-19,31-03-19
0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0111145D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,1255459D,1255459D,1255459D,1255459D,1255459D,1255459D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1288453D,1288453D,1288453D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1697067D,1697067D,1697067D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0202445Q,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0848680D,0848680D,0848680D,0867887D,0867887D,0867887D,0867887D,0867887D,0961514D,0961514D,1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1255459D,1255459D,1255459D,1255459D,1255459D,1255459D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1436513D,1436513D,1436513D,1448062D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1518855D,1518855D,1539941D,1539941D,1539941D,1539941D,1539941D,1697067D,1697067D,1697067D,1697067D,A,A,A,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL,AAL
0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0203524D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0848680D,0848680D,0848680D,0867887D,0867887D,0867887D,0961514D,0961514D,0961514D,0961514D,0961514D,1086832D,1086832D,1255459D,1255459D,1255459D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1284849D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1431816D,1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,1500785D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1539941D,1539941D,1697067D,1697067D,1697067D,1697067D,1697067D,A,A,A,A,AAL,AAL,AAL,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP,AAP
0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0226226D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0867887D,0867887D,0867887D,0867887D,0867887D,0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1086832D,1086832D,1255459D,1255459D,1284849D,1284849D,1284849D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1288453D,1431816D,1431816D,1431816D,1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1500785D,1500785D,1500785D,1518855D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1539941D,1697067D,1697067D,A,A,A,A,A,AAL,AAL,AAL,AAL,AAP,AAP,AAP,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
0289640Q,0289640Q,0289640Q,0289640Q,0289640Q,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0376152D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0867887D,0867887D,0867887D,0961514D,0961514D,0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1255459D,1255459D,1280712D,1284849D,1288453D,1288453D,1288453D,1431816D,1431816D,1431816D,1431816D,1431816D,1431816D,1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,1448062D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1500785D,1518855D,1518855D,1518855D,1539941D,1541931D,1541931D,1541931D,1541931D,1541931D,1566019D,1566019D,1566019D,1566019D,1566019D,1697067D,1697067D,A,A,AA,AA,AAL,AAL,AAL,AAP,AAP,AAP,AAP,AAPL,AAPL,AAPL,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV,ABBV
0376152D,0376152D,0376152D,0376152D,0376152D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0440296D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0544749D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0598884D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0820143D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0574018D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0772031D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0848680D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1086832D,1086832D,1086832D,0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1280712D,1280712D,1280712D,1280712D,1280712D,1284849D,1288453D,1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,1448062D,1448062D,1448062D,1500785D,1500785D,1500785D,1500785D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1518855D,1539941D,1539941D,1539941D,1541931D,1566019D,1566019D,1566019D,1566019D,1566019D,1697067D,1697067D,1697067D,1697067D,1697067D,A,A,AA,AA,AAL,AAL,AAP,AAP,AAP,AAPL,AAPL,AAPL,AAPL,ABBV,ABBV,ABBV,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC,ABC
